mass_A
t;x;y
2.104782222E1;1.093620903E-2;3.105573708E-1
2.105197778E1;1.361123148E-2;3.102720443E-1
2.105613333E1;1.627656327E-2;3.102502213E-1
2.106027778E1;1.889769793E-2;3.102933009E-1
2.106444444E1;2.157842765E-2;3.103615755E-1
2.106860000E1;2.413083182E-2;3.104260848E-1
2.107275556E1;2.677733586E-2;3.104635175E-1
2.108104444E1;3.211323352E-2;3.104260456E-1
2.108521111E1;3.478068786E-2;3.104623339E-1
2.108935556E1;3.726161529E-2;3.105476976E-1
2.109351111E1;3.984803339E-2;3.106177737E-1
2.110181111E1;4.557829832E-2;3.101944623E-1
2.111014444E1;5.090999990E-2;3.101527774E-1
2.111427778E1;5.355587629E-2;3.102122937E-1
2.112258889E1;5.880002977E-2;3.102865176E-1
2.112677778E1;6.146562887E-2;3.102975423E-1
2.113087778E1;6.408671486E-2;3.102980091E-1
2.113504444E1;6.679352902E-2;3.103548669E-1
2.113918889E1;6.926669346E-2;3.104377902E-1
2.114334444E1;7.184784043E-2;3.104603336E-1
2.114755556E1;7.450352591E-2;3.104669439E-1
2.115164444E1;7.711750156E-2;3.103793556E-1
2.115578889E1;8.013352661E-2;3.101798039E-1
